AGNO;DEN_ID;DEN_CANAL;DEN_ESTADO;DEN_FEC_CREACION;DEN_MES_CREACION;DEN_TRIMESTRE_CREACION;DEN_FEC_TERMINO_DENUNCIA;DEN_OFICINA;DEN_DEPARTAMENTO;DEN_AMBITO;DEN_TEMA;DEN_SUBTEMA;DEN_MRUN;DEN_AFECTADO;DEN_SEXO;DEN_TIPO;AFEC_MRUN;RBD;EE_NOMBRE;EE_COD_REGION;EE_COD_PROVINCIA;EE_COD_COMUNA;EE_NOM_COMUNA;EE_COD_DEPE;EE_DEPE_AGRUP;AFEC_COD_ENSE2;DEN_REGION
2014;CAS-11019-H9D2D9;1;1;20140130;1;1;20140130;0;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO ENTRE ESTUDIANTES (EXCLUYE AL NIVEL PARVULARIO);20786203;0;2;PADRE/MADRE/TUTOR;14451017;10285;ESCUELA SANTA VICTORIA DE HUECHURABA;13;131;13107;HUECHURABA;2;1;2;13
2014;CAS-11020-S4D9L0;1;1;20140130;1;1;20140306;1;2;GESTIÓN DE RECURSOS FINANCIEROS;OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;INCUMPLIMIENTO DE OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;3126070;1;2;DOCENTE;3126070;139;JARDIN INFANTIL CONEJITO;1;11;1101;IQUIQUE;3;3;1;1
2014;CAS-11021-J8J2W7;2;1;20140130;1;1;20140203;0;1;GESTIÓN DE RECURSOS FINANCIEROS;OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;INCUMPLIMIENTO DE OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;20699352;1;2;DOCENTE;20699352; ;OTRO; ; ; ; ;99;9;2;13
2014;CAS-11022-Y5X0Y6;2;1;20140130;1;1;20140415;13;2;GESTIÓN DE RECURSOS FINANCIEROS;OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;INCUMPLIMIENTO DE OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;24998762;1;2;DOCENTE;24998762;26452;ESCUELA ESPECIAL ANTU-MAWEN;13;131;13124;PUDAHUEL;3;3;4;13
2014;CAS-11027-W0Z6T6;1;1;20140131;1;1;20140904;13;3;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;8690857;0;2; ;10335436;25065;COLEGIO PEDRO DE VALDIVIA -PEÑALOLEN;13;131;13122;PEÑALOLÉN;4;4;1;13
2014;CAS-11029-X9D1R6;1;1;20140131;1;1;20140131;8;1;CONVIVENCIA;MALTRATO A MIEMBROS ADULTOS DE LA COMUNIDAD EDUCATIVA;MALTRATO DE ESTUDIANTE HACIA PERSONAL DEL ESTABLECIMIENTO (DOCENTES, EDUCADORES, OTRO);3509310;1;1; ;3509310;4999;ESCUELA BASICA RAMON FREIRE SERRANO;8;81;8102;CORONEL;2;1;2;8
2014;CAS-11030-V9C0Z5;1;1;20140131;1;1;20140224;10;2;GESTIÓN TÉCNICO-ADMINISTRATIVA;REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;IRREGULARIDADES EN EL REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;7931669;0;2; ;2605460;40297;COLEGIO INNOVASUR;10;101;10101;PUERTO MONTT;3;3;2;10
2014;CAS-11031-R0P1S5;1;1;20140131;1;1;20140319;13;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO ENTRE ESTUDIANTES (EXCLUYE AL NIVEL PARVULARIO);13977729;0;2; ;12077397;26094;COLEGIO LAS AMERICAS DE PAINE;13;134;13404;PAINE;3;3;2;13
2014;CAS-11032-Z8C7L4;1;1;20140131;1;1;20140618;13;3;SEGURIDAD E HIGIENE;PROCEDIMIENTOS O MEDIDAS DE HIGIENE, SALUD Y SALUBRIDAD;IRREGULARIDADES EN EL PROCEDIMIENTO DE HIGIENE Y DESINFECCIÓN DEL ESTABLECIMIENTO (SANITACIÓN, DESINFECCIÓN, MANIPULACIÓN DE RESIDUOS, CONTROL DE VECTORES Y PLAGAS, VENTILACIÓN, OTRAS);22230842;1;2; ;22230842;26103;ESC. ESP. NUESTRA SEÑORA DE COVADONGA;13;131;13110;LA FLORIDA;3;3;1;13
2014;CAS-11034-J4M5Q0;1;1;20140131;1;1;20140131;1;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;CONDICIONALIDAD DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;20231844;0;2;APODERADO/A;23862683;12573;COLEGIO MARIA REINA;1;11;1101;IQUIQUE;3;3;2;1
